Model,RMSE,MAE,R²
Random Forest,869.0179714909425,543.4203869147212,0.9997817274755472
MLP Regressor,46274.142062625215,32570.32864833139,0.38110310089039356
TensorFlow 2,74580.814850621,43268.451465753424,-0.6076659134492479
TensorFlow 3,152304.41483335895,63718.13453424658,-5.704502242742219
